type	tool	mean	median	sd
Blind	mobster	0.835672514619883	1	0.291235343761358
Blind	pyclonevi	0.318168778453555	0.292857142857143	0.12009463437384
Blind	viber	0.50361136448093	0.5	0.210070874385675
Interpreted	mobster	0.928874734607219	1	0.141375796989361
Interpreted	pyclonevi	0.641300940438871	0.666666666666667	0.260787124970698
Interpreted	viber	0.697619047619048	0.666666666666667	0.237950749809378
