sample_class	caller	context	mean_cs	median_cs	sd_cs
high complexity	BASCULE	ID83	0.82293858934332	0.857242063701197	0.115760225203484
high complexity	BASCULE	SBS96	0.91904670715351	0.925122955259293	0.0685206240980861
high complexity	SigProfiler	ID83	0.864898786085023	0.863105901124012	0.0908783689810421
high complexity	SigProfiler	SBS96	0.918224967148585	0.934844701469162	0.0671598685836566
low complexity	BASCULE	ID83	0.979707660214554	0.983671944025829	0.0171248623991932
low complexity	BASCULE	SBS96	0.987256114774033	0.996133725362175	0.0180946905978086
low complexity	SigProfiler	ID83	0.98729282892558	0.989868989960949	0.0113148561865616
low complexity	SigProfiler	SBS96	0.989839793027545	0.996560985013516	0.018259821048513
