cluster_process	patient_class	mean_cs	median_cs	sd_cs
Clonal	HighComplexity	0.969135723274675	0.995134264629817	0.066168900292469
Clonal	LowComplexity	0.964021341861318	0.995487857731506	0.0649281895055461
Subclonal	HighComplexity	0.855532944671249	0.963517909629941	0.24013298665243
Subclonal	LowComplexity	0.968421199075621	0.983871939561266	0.033501844131212
